content,sentiment,score
"Worst experience, most of the time they send expired food products !!!!! And also they deliver seal broken products.. Also quality of vegetables is not upto the mark",NEGATIVE,0.999509096
Chowmein was not freshly cooked nd paneer was under cooked. Previous experience was same. Not improved.,NEGATIVE,0.999495029
It is always showing address issue,POSITIVE,0.998435199
सावधान अतिथि वाले ठग है। मैंने अपना कैशबैक मनी उपयोग भी नहीं किया। इनके app से उसे काट लिया गया। जब इन से बात की और अपनी समस्या तथ्यों के साथ रखी तो ये लोग टरकाने लगे। बेहद शर्मनाक ।,POSITIVE,0.996034801
Quality of vegetables in Atithi grocery is very inferior. No resolution for Customer complaints in quality and cashback. Always try to provide better quality & service to customers to reach at the top.,NEGATIVE,0.999499321
Good service hai lekin delivery charges 450 par free hai ye bhut hi high hai kam se kam 250 par delivery charged nhi lagana chaihiye dusri app toh 100 par hi delivery charge nhi lete. Plz is par dhyaan de,POSITIVE,0.997953892
Very poor service ..mostly expired items sold,NEGATIVE,0.999501944
I have faced following issues: 1. They delievered seal broken items and when I called them they behaved very rudely. 2. Sometimes some items are missing from the delivered package. If you ask about your missing product they will ask you to come to their warehouse to pick that item. So don't trust them. 3. With someitems the manufacturing company provide some free items but the atithi guys will keep that free item with them. So basically they are fraud.,NEGATIVE,0.999502659
grocery ka cashback restorent me kyo dena jb paisa humne grocery me diya hai to cashback bhi grocery order pr hi milna chahiye mujhe online khana magana hi nhi hai to mere liye mera cashback bekar hi hai,POSITIVE,0.983797371
Vegetables quality is not good..i told 3 times but no responce i think market is good option to buy vegetables..,NEGATIVE,0.999502659
Staff trying to cancel the order you placed,NEGATIVE,0.999478877
Don't order any thing from atithi.they are selling old and expiry product.customer service is very bad.,NEGATIVE,0.999504685
Very late orders delivery and I have don't loctae my orders 😕😕,NEGATIVE,0.999217868
Very very bad....,NEGATIVE,0.999457181
"I am giving 4 stars because they are committed to their services & app is just good, not perfect. Search needs to be improved a lot. They are really doing great by providing home delivery services in this pandemic time.(Don't forget, I am talking about the place Lakhimpur Kheri, where home delivery is still a growing concept). This app needs improvement in terms of search. Searching for Sugar keyword should also show cheeni and similar products.",POSITIVE,0.998641908
Worst app.,NEGATIVE,0.999479592
Service not good very careless,NEGATIVE,0.999497294
Good,POSITIVE,0.998415232
बहुत बेकार सर्विस हैं। साले रोस्टेड पर ग्रैवी लपेट कर कढाई चिकन बना देते हैं।,POSITIVE,0.994818866
"They gave us cashback as in wallet. But wallet amount will not use in next order, it is used in 20% only and then we get another cashback and it again add this in wallet. Means overall we never finished the wallet amount and never used. Just fraud",NEGATIVE,0.999495983
Well done💯👍👍👏👏👏,POSITIVE,0.998791516
Good,POSITIVE,0.998415232
Good,POSITIVE,0.998415232
"Testy food with speedy disposal. Keep it up, good wishes .",POSITIVE,0.998876154
Worst service i have ever had. I have ordered 2 pizzas and got delivered after 2hrs and after payment there is no option to cancel the order. And there is a plastic inside the pizza. The food quality of atithi is getting deteriorated day by day. Worst very worst.,NEGATIVE,0.999511123
Wrost experience,POSITIVE,0.997526705
Wallet use TnC not clear and not customer friendly. Cashback is a trap You can't use complete wallet amount. Unreasonable delivery charges on wallet use even complete order is above 180.,NEGATIVE,0.999498606
"Worst app and restaurant I have ever seen. I had veey bad experience with this restaurant and their staff. No cancel option is provided in the app and if you call the restaurant,they also neither cancel it nor provide any help from there side. Customer satisfaction is zero. They don't even care about his customers and their feedback. I recommend everyone to try other restaurant who can have some dignity towards its customers.",NEGATIVE,0.999509096
Nice,POSITIVE,0.997769475
Best food app in lakhimpur Quality and quantity is to good best food service provider in lakhimpur Thanks atithi,POSITIVE,0.998688161
Very poor service,NEGATIVE,0.99949646
Very good restaurant and grocery,POSITIVE,0.998844385
"Please select only and only cash on delivery option, don't do online payment otherwise problem starts , so it's humble request don't do online or advance payment for your order.",NEGATIVE,0.999447286
"The experience is very good ,the quality of the food and product is awesome 👌",POSITIVE,0.998931587
Wonderful,POSITIVE,0.998453021
Very very very bad service as well as food items Too disappointed,NEGATIVE,0.999506712
"Very bad staff , Bad experience",NEGATIVE,0.999495029
"Veg biryani ke nam pe bevkoof banate h. 180 me sabji, chawal ek me San ke de dete h na koi khada masala na biryani masala. Really me ek dum bekar biryani hai",POSITIVE,0.875197411
"Vary Bad Experience about delivery. Too late delivery, You have to order only PAY ON DELIVERY otherwise you will lost your money without taking the taste of food",NEGATIVE,0.999500036
"Vary Bad Experience about delivery. Too late delivery, And if you ordered prepaid food and want to cancel the order because of too late delivery, there is no option of refund. They will take the food return and your application will show the order is delivered. And you lost your money without taking the taste of food.",NEGATIVE,0.99950695
"Vary Bad Experience about delivery. Too late delivery, And if you ordered prepaid food and want to cancel the order because of too late delivery, there is no option of refund. They will take the food return and your application will show the order is delivered. And you lost your money without taking the taste of food.",NEGATIVE,0.99950695
Worst service and food ever,NEGATIVE,0.999493837
Very bad experience food is good but service is very bad you have to wait for at least 1 to 2 hours after placing order which is frust,NEGATIVE,0.999508381
"Good app , same day delivery",POSITIVE,0.998823464
Good service,POSITIVE,0.998836339
"All the goods get fresh and good since I found the app, I get them delivered home only. best service in lakhimpur",POSITIVE,0.998812079
Good one,POSITIVE,0.99882406
Very poor service......staff is too bad.....not well behaved........poor quality,NEGATIVE,0.999505639
Baddest app ever.... The email I'd is showing invalid continously even it is true,NEGATIVE,0.99949789
"Worst services, worst staff......Total Rubbish",NEGATIVE,0.999503136
Not good you are not honest with your customers Your app shows 8 pieces in a malai kofta plate but delivered only 5 pieces in my order And even food quality is as good as served in restaurant,NEGATIVE,0.999508381
why there is no one to pick-up my call 😠😠,NEGATIVE,0.999457896
Worst delevery service.,NEGATIVE,0.999423742
Good,POSITIVE,0.998415232
Very bad service,NEGATIVE,0.99949491
There's absolutely no offer. Before it was 30% and now there's none for 4 months now. Dacaits.,NEGATIVE,0.999502659
The food gets very good here. Really very good teste get me the best restaurant from lakhimpur😊best app in lakhimpur kheri,POSITIVE,0.998822033
Best food,POSITIVE,0.998353124
According to rate in Sanvi Jernal Store Rate Are too good against atithi. And it's are too near atithi,NEGATIVE,0.987783611
Ghanton tak OTP hi nahi aata hai Bakwaas app. Using jio best network,POSITIVE,0.997841716
Dry fruits is not available,NEGATIVE,0.997158885
Very bad . Non delivery of order at address.,NEGATIVE,0.99950707
Good quality food.,POSITIVE,0.998873055
Nice initiative,POSITIVE,0.998580337
Pathetic....... Just spoiled the mood..... It took almost 3 freaking hours to deliver the food..... Even I would have received from Lucknow. भगवान जाने 3 घंटे कैसे लग सकते हैं ..,NEGATIVE,0.999501586
Good test,POSITIVE,0.998750091
Ok,NEGATIVE,0.994314611
मुझे हर एक चीज अभी तक जो मैंने खाई वह बहुत ही पसंद आई धन्यवाद ।🙏❤🙏,POSITIVE,0.998310089
Average,NEGATIVE,0.998089492
Best app for Lakhimpur kheri area,POSITIVE,0.998012424
Love it,POSITIVE,0.998811126
Satisfying,POSITIVE,0.998839915
Awesome service and food.,POSITIVE,0.99885118
tasty food always,POSITIVE,0.998856187
Very good,POSITIVE,0.998601854
Very late dilvery,NEGATIVE,0.999154449
Not working while I was ordering food,NEGATIVE,0.999500513
Very Bad service after one hours .।।,NEGATIVE,0.999499083
A figure among chipers,POSITIVE,0.996902645
Good,POSITIVE,0.998415232
Very good,POSITIVE,0.998601854
Amazing App for Food ordering...,POSITIVE,0.998783171
Awesome,POSITIVE,0.998600066
Excellent,POSITIVE,0.998581052
Awsum app,POSITIVE,0.994567156
Good app but when I opens the app it hangs my phone,NEGATIVE,0.998816013
Best restaurant in lakhimpur... N app is also good.. great experience always,POSITIVE,0.998871624
Good work,POSITIVE,0.998823702
Exelent,POSITIVE,0.99801743
Good,POSITIVE,0.998415232
Very bad experience with this app,NEGATIVE,0.999500632
It was awesome..😍😍,POSITIVE,0.998761654
dal was worst than soup.. no taste full of water.. food was cold.. n cold drink was warm.. order was delivered in 2 hrs,NEGATIVE,0.999503374
"Smooth experience, would be better with live tracking.",POSITIVE,0.992620826
Its Too Good,POSITIVE,0.994530141
Amazing App,POSITIVE,0.998657823
Good,POSITIVE,0.998415232
Good,POSITIVE,0.998415232
Good,POSITIVE,0.998415232
Very tasty food,POSITIVE,0.99874723
The app is really efficient and the food is really tasty the taste is refreshing and the price are economically pocket friendly 😊😊,POSITIVE,0.998922467
Very good,POSITIVE,0.998601854
Good,POSITIVE,0.998415232
Good,POSITIVE,0.998415232
It is worst.😡 I used 30% cashback coupon but i didn't got my cash back. It's ridiculous 😡😡,NEGATIVE,0.999495387
Food is so much unhygienic of this restaurant that i suffer from food posionig after eating .Not one time but 2 times,NEGATIVE,0.999493599
Ok,NEGATIVE,0.994314611
Most Beautifull restrorent Service staff very nice,POSITIVE,0.998614669
Nice atithi aap good food & good service atithi restaurant,POSITIVE,0.998899221
Lakhimpur ka no 1 app atithi app very helpfully Good food and good service,POSITIVE,0.998856783
One more dhamaka from Shobhit bhai... Best wishes...,POSITIVE,0.998704672
Nice,POSITIVE,0.997769475
Very helpful app for food 🍴🍕🍔 order at home delivery Thank you Atithi Restaurant for providing app in Lakhimapur,POSITIVE,0.998797297
Good place good food,POSITIVE,0.998875916
